model,layer,linear,BS,CXT_LEN,r,in_feature,out_feature,svd_rank,w_prec,i_prec,o_prec
Roberta-large,Attention(QKV),w*x,64,49,8,1024,1024,8,4,8,16
Roberta-large,Attention(QKV),w*dx,64,49,8,1024,1024,8,4,4,16
Roberta-large,Attention(QKV),svd_out,64,49,8,1024,1024,8,8,8,16
Roberta-large,Attention(QKV),svd_x,64,49,8,1024,1024,8,8,8,16
Roberta-large,Attention(QKV),svd_dx,64,49,8,1024,1024,8,8,4,16
Roberta-large,FFN1,w*x,64,49,8,1024,4096,8,4,8,16
Roberta-large,FFN1,w*dx,64,49,8,1024,4096,8,4,4,16
Roberta-large,FFN1,svd_out,64,49,8,1024,4096,8,8,8,16
Roberta-large,FFN1,svd_x,64,49,8,1024,4096,8,8,8,16
Roberta-large,FFN1,svd_dx,64,49,8,1024,4096,8,8,4,16
Roberta-large,FFN2,w*x,64,49,8,4096,1024,8,4,8,16
Roberta-large,FFN2,w*dx,64,49,8,4096,1024,8,4,4,16
Roberta-large,FFN2,svd_out,64,49,8,4096,1024,8,8,8,16
Roberta-large,FFN2,svd_x,64,49,8,4096,1024,8,8,8,16
Roberta-large,FFN2,svd_dx,64,49,8,4096,1024,8,8,4,16
opt-6.7b,Attention(QKV),w*x,16,296,2,4096,4096,8,4,8,16
opt-6.7b,Attention(QKV),w*dx,16,296,2,4096,4096,8,4,4,16
opt-6.7b,Attention(QKV),svd_out,16,296,2,4096,4096,8,8,8,16
opt-6.7b,Attention(QKV),svd_x,16,296,2,4096,4096,8,8,8,16
opt-6.7b,Attention(QKV),svd_dx,16,296,2,4096,4096,8,8,4,16
opt-6.7b,FFN1,w*x,16,296,2,4096,16384,8,4,8,16
opt-6.7b,FFN1,w*dx,16,296,2,4096,16384,8,4,4,16
opt-6.7b,FFN1,svd_out,16,296,2,4096,16384,8,8,8,16
opt-6.7b,FFN1,svd_x,16,296,2,4096,16384,8,8,8,16
opt-6.7b,FFN1,svd_dx,16,296,2,4096,16384,8,8,4,16
opt-6.7b,FFN2,w*x,16,296,2,16384,4096,8,4,8,16
opt-6.7b,FFN2,w*dx,16,296,2,16384,4096,8,4,4,16
opt-6.7b,FFN2,svd_out,16,296,2,16384,4096,8,8,8,16
opt-6.7b,FFN2,svd_x,16,296,2,16384,4096,8,8,8,16
opt-6.7b,FFN2,svd_dx,16,296,2,16384,4096,8,8,4,16
